transaction_id,sale_date,product,product_category,customer_id,quantity,unit_price,revenue
TXN01197,2024-01-01,Lenovo ThinkPad,Laptops,CUST0788,2,1099,2198
TXN00849,2024-01-01,"MacBook Pro 14""",Laptops,CUST0265,1,1899,1899
TXN00325,2024-01-01,"Samsung 24"" FHD",Monitors,CUST0751,1,179,179
TXN00332,2024-01-01,Lenovo ThinkPad,Laptops,CUST0700,1,1099,1099
TXN01963,2024-01-01,Dell XPS 13,Laptops,CUST0471,3,1299,3897
TXN01756,2024-01-01,Microsoft Surface Go,Tablets,CUST0221,1,449,449
TXN02419,2024-01-01,HP Pavilion 15,Laptops,CUST0518,2,749,1498
TXN01984,2024-01-01,Webcam HD,Accessories,CUST0156,1,79,79
TXN00679,2024-01-01,HP Pavilion 15,Laptops,CUST0605,1,749,749
TXN00238,2024-01-02,Dell XPS 13,Laptops,CUST0443,1,1299,1299
TXN01627,2024-01-02,Google Pixel 8,Smartphones,CUST0132,2,699,1398
TXN01866,2024-01-02,Samsung Galaxy S24,Smartphones,CUST0710,1,899,899
TXN00709,2024-01-02,Lenovo ThinkPad,Laptops,CUST0180,2,1099,2198
TXN00007,2024-01-02,HP Pavilion 15,Laptops,CUST0795,2,749,1498
TXN02329,2024-01-02,iPhone 15 Pro,Smartphones,CUST0481,2,999,1998
TXN00905,2024-01-02,"MacBook Pro 14""",Laptops,CUST0130,1,1899,1899
TXN00023,2024-01-02,Google Pixel 8,Smartphones,CUST0413,3,699,2097
TXN02177,2024-01-03,OnePlus 12,Smartphones,CUST0575,3,649,1947
TXN02102,2024-01-03,iPhone 15 Pro,Smartphones,CUST0275,1,999,999
TXN00109,2024-01-03,"MacBook Pro 14""",Laptops,CUST0538,1,1899,1899
TXN01323,2024-01-03,Bluetooth Headphones,Accessories,CUST0050,1,149,149
TXN02482,2024-01-03,Microsoft Surface Go,Tablets,CUST0432,2,449,898
TXN01950,2024-01-03,Samsung Galaxy S24,Smartphones,CUST0236,1,899,899
TXN02105,2024-01-04,iPhone 15 Pro,Smartphones,CUST0523,1,999,999
TXN00020,2024-01-04,Webcam HD,Accessories,CUST0586,1,79,79
TXN02012,2024-01-04,Google Pixel 8,Smartphones,CUST0262,1,699,699
TXN01964,2024-01-04,Webcam HD,Accessories,CUST0491,1,79,79
TXN01851,2024-01-04,USB-C Cable,Accessories,CUST0095,1,19,19
TXN01049,2024-01-04,Laptop Stand,Accessories,CUST0356,1,49,49
